class,obc(%),omc_obc(%),cov_gap(%)
org.apache.commons.lang3.mutable.MutableInt,100.0,100.0,0.0
org.apache.commons.lang3.CharRange,98.0,84.0,14.0
org.apache.commons.lang3.text.translate.UnicodeUnpairedSurrogateRemover,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder$StrBuilderTokenizer,50.0,50.0,0.0
org.apache.commons.lang3.text.StrLookup$SystemPropertiesStrLookup,100.0,100.0,0.0
org.apache.commons.lang3.StringUtils,98.1591,82.577255,15.581848
org.apache.commons.lang3.ClassUtils,94.71545,69.51219,25.203255
org.apache.commons.lang3.CharSet,100.0,91.17647,8.823532
org.apache.commons.lang3.reflect.MemberUtils,88.15789,65.789474,22.368416
org.apache.commons.lang3.tuple.Pair,91.66667,91.66667,0.0
org.apache.commons.lang3.builder.IDKey,50.0,50.0,0.0
org.apache.commons.lang3.CharEncoding,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableLong,100.0,100.0,0.0
org.apache.commons.lang3.builder.HashCodeBuilder,97.87234,74.46808,23.404259
org.apache.commons.lang3.math.IEEE754rUtils,100.0,50.0,50.0
org.apache.commons.lang3.text.StrLookup$MapStrLookup,100.0,100.0,0.0
org.apache.commons.lang3.text.FormattableUtils,93.75,12.5,81.25
org.apache.commons.lang3.text.StrSubstitutor,93.396225,71.69811,21.698112
org.apache.commons.lang3.mutable.MutableObject,100.0,100.0,0.0
org.apache.commons.lang3.tuple.Triple,87.5,75.0,12.5
org.apache.commons.lang3.JavaVersion,82.35294,79.411766,2.9411774
org.apache.commons.lang3.Conversion,81.73913,46.304348,35.43478
org.apache.commons.lang3.CharRange$CharacterIterator,100.0,88.88889,11.111107
org.apache.commons.lang3.AnnotationUtils,91.30435,68.478264,22.826088
org.apache.commons.lang3.builder.ToStringBuilder,100.0,16.666668,83.33333
org.apache.commons.lang3.reflect.TypeUtils$ParameterizedTypeImpl,50.0,50.0,0.0
org.apache.commons.lang3.RandomStringUtils,100.0,51.724136,48.275864
org.apache.commons.lang3.builder.DiffResult,100.0,41.666664,58.333336
org.apache.commons.lang3.math.Fraction,91.83673,57.14286,34.69387
org.apache.commons.lang3.mutable.MutableBoolean,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder,95.86466,37.406013,58.45865
org.apache.commons.lang3.exception.ExceptionUtils,93.61702,67.02127,26.595749
org.apache.commons.lang3.ClassUtils$1$1,100.0,100.0,0.0
org.apache.commons.lang3.text.StrTokenizer,97.82609,79.347824,18.478264
org.apache.commons.lang3.RandomUtils,100.0,30.769232,69.23077
org.apache.commons.lang3.mutable.MutableFloat,100.0,100.0,0.0
org.apache.commons.lang3.builder.ReflectionDiffBuilder,100.0,58.333332,41.666668
org.apache.commons.lang3.text.WordUtils,98.95833,62.5,36.45833
org.apache.commons.lang3.text.StrMatcher$CharMatcher,100.0,100.0,0.0
org.apache.commons.lang3.CharSetUtils,98.14815,66.66667,31.481476
org.apache.commons.lang3.reflect.MethodUtils,87.16216,58.783783,28.37838
org.apache.commons.lang3.builder.ToStringStyle,92.201836,5.504587,86.69725
org.apache.commons.lang3.ArrayUtils,93.863045,64.72868,29.134361
org.apache.commons.lang3.BooleanUtils,96.456696,79.13386,17.322838
org.apache.commons.lang3.BitField,100.0,83.33333,16.666672
org.apache.commons.lang3.CharUtils,100.0,85.18519,14.814812
org.apache.commons.lang3.CharSequenceUtils,82.85715,44.285713,38.571434
org.apache.commons.lang3.text.StrMatcher,100.0,100.0,0.0
org.apache.commons.lang3.LocaleUtils,93.181816,55.68182,37.499996
org.apache.commons.lang3.mutable.MutableDouble,100.0,100.0,0.0
org.apache.commons.lang3.text.StrMatcher$TrimMatcher,100.0,100.0,0.0
org.apache.commons.lang3.reflect.InheritanceUtils,100.0,100.0,0.0
org.apache.commons.lang3.EnumUtils,96.15385,53.846157,42.30769
org.apache.commons.lang3.ObjectUtils,98.86364,81.818184,17.045456
org.apache.commons.lang3.reflect.FieldUtils,90.2439,29.268291,60.975605
org.apache.commons.lang3.event.EventUtils$EventBindingInvocationHandler,100.0,87.5,12.5
org.apache.commons.lang3.text.StrMatcher$StringMatcher,100.0,100.0,0.0
org.apache.commons.lang3.mutable.MutableShort,100.0,100.0,0.0
org.apache.commons.lang3.text.StrBuilder$StrBuilderReader,95.83333,50.0,45.83333
org.apache.commons.lang3.mutable.MutableByte,100.0,100.0,0.0
org.apache.commons.lang3.builder.EqualsBuilder,82.92683,77.64227,5.2845535
org.apache.commons.lang3.Range,92.10526,75.0,17.105263
org.apache.commons.lang3.builder.DiffBuilder,97.368416,63.15789,34.210526
org.apache.commons.lang3.reflect.TypeUtils,48.30097,28.398058,19.90291
org.apache.commons.lang3.builder.ReflectionToStringBuilder,89.58333,10.416666,79.166664
org.apache.commons.lang3.SystemUtils,52.173912,39.130436,13.043476
org.apache.commons.lang3.text.translate.CharSequenceTranslator,88.88889,11.111112,77.77778
org.apache.commons.lang3.builder.CompareToBuilder,87.5,3.3333335,84.166664
org.apache.commons.lang3.event.EventListenerSupport,50.0,16.666668,33.333332
org.apache.commons.lang3.Validate,85.48387,51.6129,33.87097
org.apache.commons.lang3.text.StrMatcher$CharSetMatcher,100.0,100.0,0.0
org.apache.commons.lang3.math.NumberUtils,89.85149,48.762375,41.08911
org.apache.commons.lang3.text.translate.LookupTranslator,93.75,43.75,50.0
org.apache.commons.lang3.event.EventListenerSupport$ProxyInvocationHandler,100.0,50.0,50.0
org.apache.commons.lang3.reflect.ConstructorUtils,87.5,58.333332,29.166668
org.apache.commons.lang3.ClassUtils$2$1,90.0,80.0,10.0
